[0.27195504307746887, 0.7280449271202087]
[0.9477479457855225, 0.05225203558802605]
[0.8222438097000122, 0.1777561902999878]
[0.8814742565155029, 0.11852578818798065]
[0.36146339774131775, 0.6385366320610046]
[0.9507506489753723, 0.04924935847520828]
[0.9410664439201355, 0.05893349274992943]
[0.9392899870872498, 0.060710012912750244]
[0.9561331868171692, 0.04386674240231514]
[0.36218398809432983, 0.6378160119056702]
[0.517381489276886, 0.4826184809207916]
[0.9458032250404358, 0.054196760058403015]
[0.9537643194198608, 0.04623565822839737]
[0.3090893030166626, 0.6909106969833374]
[0.20208482444286346, 0.7979151606559753]
[0.3455907702445984, 0.6544092893600464]
[0.18501503765583038, 0.814984917640686]
[0.9364746809005737, 0.0635252594947815]
[0.47491195797920227, 0.5250880122184753]
[0.3279937505722046, 0.6720062494277954]
[0.5920170545578003, 0.4079830050468445]
[0.6201783418655396, 0.37982165813446045]
[0.3513127565383911, 0.6486872434616089]
[0.9419370889663696, 0.05806292966008186]
[0.9134640693664551, 0.0865359753370285]
[0.9672366976737976, 0.032763272523880005]
[0.9440283179283142, 0.05597174912691116]
[0.30977484583854675, 0.6902251243591309]
[0.9401386380195618, 0.059861376881599426]
[0.9093210101127625, 0.09067896753549576]
[0.9314475059509277, 0.06855247169733047]
[0.2940047085285187, 0.7059953212738037]
[0.2581897974014282, 0.7418102025985718]
[0.8952416777610779, 0.10475831478834152]
[0.8749763369560242, 0.1250237226486206]
[0.3909643590450287, 0.6090356111526489]
[0.9581912755966187, 0.041808709502220154]
[0.7508554458618164, 0.24914461374282837]
[0.2860497236251831, 0.7139502763748169]
[0.9362281560897827, 0.06377183645963669]
[0.7240357995033264, 0.27596423029899597]
[0.7828379273414612, 0.21716205775737762]
[0.9375177621841431, 0.06248220056295395]
[0.3205185830593109, 0.6794814467430115]
[0.9416879415512085, 0.05831202492117882]
[0.2474081665277481, 0.7525917887687683]
[0.7237556576728821, 0.2762443721294403]
[0.6317325234413147, 0.3682674467563629]
[0.4022861421108246, 0.5977138876914978]
[0.9584851264953613, 0.04151485115289688]
[0.27721017599105835, 0.7227897644042969]
[0.7463052868843079, 0.2536947429180145]
[0.5253434181213379, 0.4746565520763397]
[0.3577492833137512, 0.6422507166862488]
[0.9493037462234497, 0.05069628730416298]
[0.41782742738723755, 0.5821725726127625]
[0.3419172763824463, 0.6580827236175537]
[0.6802879571914673, 0.3197120428085327]
[0.2640821933746338, 0.7359178066253662]
[0.939941942691803, 0.06005800887942314]
[0.9522042274475098, 0.04779580608010292]
[0.2417774796485901, 0.7582225203514099]
[0.9068623185157776, 0.09313765913248062]
[0.9400245547294617, 0.05997544154524803]
[0.6945820450782776, 0.3054179549217224]
[0.25333014130592346, 0.7466698288917542]
[0.5307185649871826, 0.4692814350128174]
[0.9092685580253601, 0.0907314345240593]
[0.9606568217277527, 0.03934313729405403]
[0.9460224509239197, 0.053977590054273605]
[0.3509465157985687, 0.6490534543991089]
[0.9396523237228394, 0.06034764647483826]
[0.15915150940418243, 0.8408485054969788]
[0.1669813096523285, 0.8330186605453491]
[0.9405803084373474, 0.05941969156265259]
[0.34499865770339966, 0.6550013422966003]
[0.9276054501533508, 0.0723944902420044]
[0.9398010969161987, 0.06019896641373634]
[0.9709256291389465, 0.029074328020215034]
[0.9644731283187866, 0.03552688658237457]
[0.19285696744918823, 0.8071430921554565]
[0.9432477951049805, 0.05675224959850311]
[0.9141474366188049, 0.08585261553525925]
[0.6995113492012024, 0.3004886507987976]
[0.9379953742027283, 0.06200464069843292]
[0.8173623085021973, 0.1826377511024475]
[0.6940027475357056, 0.3059973120689392]
[0.6659344434738159, 0.33406561613082886]
[0.5217726826667786, 0.4782273471355438]
[0.7134089469909668, 0.2865910828113556]
[0.8808695673942566, 0.119130440056324]
[0.9422433376312256, 0.05775664746761322]
[0.9611056447029114, 0.038894347846508026]
[0.2253366857767105, 0.7746633887290955]
[0.911884605884552, 0.08811535686254501]
[0.23832058906555176, 0.7616793513298035]
[0.2934512197971344, 0.706548810005188]
[0.9421790242195129, 0.057820942252874374]
[0.23737144470214844, 0.7626286149024963]
[0.20041532814502716, 0.7995846271514893]
[0.8948742747306824, 0.10512570291757584]
[0.9521618485450745, 0.04783814400434494]
[0.19858203828334808, 0.801417887210846]
[0.95969557762146, 0.040304381400346756]
[0.7587459087371826, 0.24125412106513977]
[0.2796688377857208, 0.7203311920166016]
[0.28550249338150024, 0.7144975066184998]
[0.22263850271701813, 0.7773614525794983]
[0.335883766412735, 0.6641162633895874]
[0.8787350058555603, 0.1212649941444397]
[0.41320088505744934, 0.586799144744873]
[0.31100305914878845, 0.6889969110488892]
[0.35832324624061584, 0.6416767239570618]
[0.9340499043464661, 0.06595011055469513]
[0.9420082569122314, 0.05799175053834915]
[0.27866223454475403, 0.7213377952575684]
[0.2455676645040512, 0.7544323801994324]
[0.9511708617210388, 0.04882918298244476]
[0.34899231791496277, 0.6510077118873596]
[0.4999510943889618, 0.5000489354133606]
[0.3135686218738556, 0.686431348323822]
[0.19992108643054962, 0.8000788688659668]
[0.26921340823173523, 0.7307866215705872]
[0.4808962047100067, 0.5191037654876709]
[0.6019060015678406, 0.3980939984321594]
[0.22353440523147583, 0.7764655947685242]
[0.9536548256874084, 0.046345192939043045]
[0.5840452313423157, 0.4159547984600067]
[0.19895541667938232, 0.8010445833206177]
[0.9180969595909119, 0.08190298080444336]
[0.18632398545742035, 0.8136759996414185]
[0.9517389535903931, 0.048261094838380814]
[0.2862401604652405, 0.7137598395347595]
[0.9487975835800171, 0.051202379167079926]
[0.34977176785469055, 0.6502282619476318]
[0.4458228051662445, 0.5541772246360779]
[0.9506680965423584, 0.0493318997323513]
[0.2568560242652893, 0.7431439757347107]
[0.9536752700805664, 0.046324681490659714]
[0.922431230545044, 0.07756878435611725]
[0.6602528691291809, 0.3397471606731415]
[0.29353833198547363, 0.7064616680145264]
[0.9377485513687134, 0.06225146725773811]
[0.22250714898109436, 0.7774928212165833]
[0.8967258930206299, 0.10327412933111191]
[0.419173926115036, 0.5808260440826416]
[0.9450463056564331, 0.05495375767350197]
[0.9356284737586975, 0.06437155604362488]
[0.3525974452495575, 0.6474025249481201]
[0.93589848279953, 0.06410152465105057]
[0.9080753922462463, 0.09192457050085068]
[0.8747010827064514, 0.12529894709587097]
[0.350105345249176, 0.6498947143554688]
